workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID,homeCountry,workCountry,homeCanton,workCanton
47.23,8.66,27.0,47.23,8.66,40.0,101,2729097718,Suisse,Suisse,Zürich,Zürich
47.24,9.63,52.0,47.24,9.63,49.0,101,734440692,Österreich,Österreich,-,-
47.33,8.62,10.0,47.33,8.62,21.0,101,529261177,Suisse,Suisse,Zürich,Zürich
46.21,6.11,36.0,46.21,6.11,43.0,101,910568120,Suisse,Suisse,Genève,Genève
47.0,6.94,40.0,47.0,6.94,44.0,101,15004617,Suisse,Suisse,Neuchâtel,Neuchâtel
45.8,6.57,30.0,45.8,6.57,62.0,101,1085465263,France,France,-,-
45.93,6.93,35.0,45.93,6.93,49.0,101,484140798,France,France,-,-
45.8,9.08,87.0,45.8,9.08,12.0,101,253062081,Italia,Italia,-,-
45.8,9.08,25.0,45.81,9.03,25.0,101,81417603,Italia,Italia,-,-
45.85,6.1,54.0,45.85,6.1,47.0,101,19610690,France,France,-,-
46.0,8.94,76.0,46.0,8.94,25.0,101,426284872,Suisse,Suisse,Ticino,Ticino
47.51,6.94,48.0,47.51,6.94,21.0,101,3380384855,France,France,-,-
46.51,6.66,26.0,46.51,6.66,73.0,101,1460548670,Suisse,Suisse,Vaud,Vaud
47.7,9.27,41.0,47.7,9.27,38.0,101,64387730,Deutschland,Deutschland,-,-
47.46,10.02,88.0,47.46,10.02,12.0,101,1122232950,Österreich,Österreich,-,-
45.98,6.0,19.0,45.98,6.0,61.0,101,141949128,France,France,-,-
47.57,7.59,28.0,47.57,7.59,70.0,101,433389810,Suisse,Suisse,Basel-Stadt,Basel-Stadt
47.41,8.58,18.0,47.41,8.58,10.0,101,1243313953,Suisse,Suisse,Zürich,Zürich
45.85,6.1,45.0,45.85,6.1,39.0,101,3438990538,France,France,-,-
46.2,6.14,63.0,46.2,6.14,35.0,101,284896105,Suisse,Suisse,Genève,Genève
47.38,8.54,33.0,47.38,8.54,60.0,101,3131461289,Suisse,Suisse,Zürich,Zürich
45.83,6.81,19.0,45.83,6.81,13.0,101,122922135,Italia,Italia,-,-
47.38,8.54,26.0,47.38,8.54,16.0,101,546822022,Suisse,Suisse,Zürich,Zürich
46.2,6.14,47.0,46.2,6.14,21.0,101,292098708,Suisse,Suisse,Genève,Genève
47.44,7.76,34.0,47.44,7.76,66.0,101,4853456333,Suisse,Suisse,Basel-Landschaft,Basel-Landschaft
47.72,7.28,84.0,47.72,7.28,15.0,101,340143773,France,France,-,-
45.8,9.08,41.0,45.8,9.08,52.0,101,305813985,Italia,Italia,-,-
47.38,8.54,49.0,47.38,8.54,51.0,101,2956936937,Suisse,Suisse,Zürich,Zürich
46.2,6.25,16.0,46.2,6.25,81.0,102,188704924,France,France,-,-
46.2,6.14,50.0,46.2,6.14,49.0,102,284127608,Suisse,Suisse,Genève,Genève
45.89,6.13,53.0,45.89,6.13,49.0,102,1260226550,France,France,-,-
45.92,6.87,52.0,45.92,6.87,33.0,102,138826733,France,France,-,-
47.74,7.32,37.0,47.74,7.32,61.0,102,258030867,France,France,-,-
46.13,8.25,47.0,46.13,8.25,55.0,102,3239836115,Italia,Italia,-,-
47.49,6.84,22.0,47.49,6.84,51.0,102,1321135351,France,France,-,-
47.15,7.26,49.0,47.15,7.26,45.0,102,895638505,Suisse,Suisse,Bern - Berne,Bern - Berne
45.83,8.81,14.0,45.83,8.81,13.0,102,1308700544,Italia,Italia,-,-
46.81,8.22,12.0,46.81,8.22,90.0,102,728687598,Suisse,Suisse,Obwalden,Obwalden
47.16,9.55,29.0,47.16,9.55,33.0,102,18605696,Liechtenstein,Liechtenstein,-,-
46.34,6.44,41.0,46.34,6.44,51.0,102,3957280955,France,France,-,-
45.87,6.71,48.0,45.87,6.71,48.0,102,349169858,France,France,-,-
45.83,8.67,63.0,45.83,8.67,34.0,102,318541668,Italia,Italia,-,-
47.72,7.28,32.0,47.72,7.28,70.0,102,3387972351,France,France,-,-
47.4,8.54,18.0,47.4,8.54,18.0,102,50958268,Suisse,Suisse,Zürich,Zürich
47.64,9.17,20.0,47.71,9.15,48.0,102,1103913025,Deutschland,Suisse,-,Thurgau
45.83,8.89,49.0,45.83,8.89,51.0,102,2367787546,Italia,Italia,-,-
47.79,7.26,72.0,47.79,7.26,30.0,102,2384184810,France,France,-,-
45.8,9.09,49.0,45.8,9.09,53.0,102,333418248,Italia,Italia,-,-
47.25,6.02,35.0,47.25,6.02,53.0,102,747115560,France,France,-,-
46.62,6.75,21.0,46.62,6.75,80.0,102,2341098558,Suisse,Suisse,Vaud,Vaud
46.15,6.24,10.0,46.17,6.28,24.0,102,464640008,France,France,-,-
47.43,8.67,52.0,47.43,8.67,22.0,102,632183,Suisse,Suisse,Zürich,Zürich
46.22,6.13,53.0,46.22,6.13,48.0,102,489791180,Suisse,Suisse,Genève,Genève
45.85,6.1,26.0,45.83,6.05,25.0,102,264810763,France,France,-,-
46.52,6.68,55.0,46.52,6.68,38.0,102,1459528555,Suisse,Suisse,Vaud,Vaud
47.38,8.54,22.0,47.38,8.54,78.0,102,2845576089,Suisse,Suisse,Zürich,Zürich
47.09,9.22,11.0,47.09,9.22,66.0,102,2919733500,Suisse,Suisse,Sankt Gallen,Sankt Gallen
47.19,8.52,65.0,47.19,8.52,37.0,102,2200616135,Suisse,Suisse,Zug,Zug
45.75,7.06,75.0,45.75,7.06,23.0,102,2149409163,Italia,Italia,-,-
46.21,6.14,23.0,46.21,6.14,79.0,102,2210608370,Suisse,Suisse,Genève,Genève
46.81,8.22,23.0,46.95,7.39,13.0,102,1105782984,Suisse,Suisse,Bern - Berne,Obwalden
47.38,8.55,52.0,47.38,8.55,42.0,102,92669036,Suisse,Suisse,Zürich,Zürich
47.06,8.29,34.0,47.04,8.32,34.0,102,1630594945,Suisse,Suisse,Luzern,Luzern
45.82,8.96,32.0,45.82,8.96,69.0,102,563896526,Italia,Italia,-,-
45.89,9.65,91.0,45.89,9.65,11.0,102,128551330,Italia,Italia,-,-
45.93,6.93,46.0,45.93,6.93,45.0,102,195830316,France,France,-,-
47.75,6.01,67.0,47.75,6.01,34.0,102,1020031646,France,France,-,-
47.45,8.56,11.0,47.43,9.37,91.0,102,575058945,Suisse,Suisse,Sankt Gallen,Zürich
47.37,8.53,37.0,47.37,8.53,49.0,102,1021427894,Suisse,Suisse,Zürich,Zürich
47.49,6.74,44.0,47.49,6.74,19.0,102,337922522,France,France,-,-
45.84,9.24,74.0,45.84,9.24,14.0,103,3937761017,Italia,Italia,-,-
47.72,7.36,19.0,47.72,7.36,84.0,103,2557421676,France,France,-,-
47.76,7.35,87.0,47.76,7.35,14.0,103,2179318515,France,France,-,-
45.89,10.2,13.0,45.89,10.2,69.0,103,331427640,Italia,Italia,-,-
45.8,9.09,62.0,45.8,9.09,23.0,103,498772160,Italia,Italia,-,-
47.72,7.28,40.0,47.72,7.28,60.0,103,1058879996,France,France,-,-
46.45,6.87,19.0,46.44,6.87,28.0,103,1030556149,Suisse,Suisse,Vaud,Vaud
45.86,8.86,26.0,45.86,8.86,72.0,103,2237868858,Italia,Italia,-,-
47.74,7.41,45.0,47.74,7.41,47.0,103,586489673,France,France,-,-
45.76,9.85,45.0,45.76,9.85,20.0,103,1672646767,Italia,Italia,-,-
46.26,6.1,30.0,46.26,6.1,61.0,103,752013032,France,France,-,-
45.92,6.6,27.0,45.92,6.6,76.0,103,1884315576,France,France,-,-
47.2,7.0,43.0,47.21,7.0,15.0,103,2920633161,Suisse,Suisse,Jura,Jura
46.18,6.14,75.0,46.18,6.14,28.0,103,1704084872,Suisse,Suisse,Genève,Genève
45.86,9.43,89.0,45.86,9.43,14.0,103,516565969,Italia,Italia,-,-
47.23,6.01,27.0,47.23,6.01,14.0,103,51402268,France,France,-,-
46.2,9.03,11.0,46.19,9.03,35.0,103,239852906,Suisse,Suisse,Ticino,Ticino
46.54,6.62,12.0,46.52,6.63,35.0,103,214518344,Suisse,Suisse,Vaud,Vaud
45.98,6.18,18.0,45.98,6.18,13.0,103,508095633,France,France,-,-
46.53,6.41,45.0,46.53,6.41,58.0,103,1720284968,Suisse,Suisse,Vaud,Vaud
46.09,7.9,47.0,46.09,7.9,32.0,103,493386984,Suisse,Suisse,Valais - Wallis,Valais - Wallis
45.81,8.78,41.0,45.81,8.78,33.0,103,2270460189,Italia,Italia,-,-
45.88,9.89,21.0,45.88,9.89,38.0,103,403842770,Italia,Italia,-,-
46.95,7.44,85.0,46.95,7.44,16.0,103,1869145579,Suisse,Suisse,Bern - Berne,Bern - Berne
47.75,7.33,28.0,47.75,7.33,49.0,103,555132837,France,France,-,-
45.8,6.66,62.0,45.8,6.66,18.0,103,2611458520,France,France,-,-
45.92,6.87,59.0,45.92,6.87,19.0,103,214089003,France,France,-,-
45.85,6.1,31.0,45.85,6.1,51.0,103,159473356,France,France,-,-
46.2,6.14,53.0,46.2,6.14,47.0,103,202563542,Suisse,Suisse,Genève,Genève
47.35,8.53,18.0,47.35,8.53,23.0,103,20443862,Suisse,Suisse,Zürich,Zürich
46.2,6.14,87.0,46.2,6.14,15.0,103,97402119,Suisse,Suisse,Genève,Genève
47.2,5.94,60.0,47.2,5.94,38.0,103,399387122,France,France,-,-
46.61,7.1,27.0,46.61,7.1,69.0,103,785670169,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
46.94,7.43,15.0,46.94,7.43,55.0,103,475230468,Suisse,Suisse,Bern - Berne,Bern - Berne
45.9,6.44,12.0,45.9,6.43,13.0,103,304548188,France,France,-,-
45.97,7.95,72.0,45.97,7.95,32.0,104,778447614,Italia,Italia,-,-
47.74,7.24,75.0,47.74,7.24,29.0,104,3131620193,France,France,-,-
45.95,9.67,46.0,45.97,9.65,10.0,104,471208191,Italia,Italia,-,-
46.23,6.13,41.0,46.23,6.13,29.0,104,72903268,Suisse,Suisse,Genève,Genève
46.19,7.34,22.0,46.19,7.34,82.0,104,580032495,Suisse,Suisse,Valais - Wallis,Valais - Wallis
47.72,7.33,73.0,47.72,7.33,29.0,104,71874566,France,France,-,-
46.22,6.14,12.0,46.23,6.13,23.0,104,236893379,Suisse,Suisse,Genève,Genève
47.5,8.73,43.0,47.5,8.73,61.0,104,229630522,Suisse,Suisse,Zürich,Zürich
46.8,7.16,22.0,46.8,7.16,53.0,104,2560301759,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
46.57,7.07,10.0,46.57,7.07,24.0,104,953931247,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
47.45,8.46,54.0,47.45,8.46,48.0,104,708013147,Suisse,Suisse,Zürich,Zürich
47.38,8.54,86.0,47.38,8.54,17.0,104,103044416,Suisse,Suisse,Zürich,Zürich
46.2,6.14,36.0,46.2,6.14,67.0,104,1192720748,Suisse,Suisse,Genève,Genève
45.83,6.81,21.0,45.83,6.81,83.0,104,509127690,Italia,Italia,-,-
47.6,9.6,49.0,47.6,9.6,55.0,104,2794082212,Deutschland,Deutschland,-,-
47.41,8.64,24.0,47.41,8.64,33.0,104,136389098,Suisse,Suisse,Zürich,Zürich
47.37,8.54,10.0,47.37,8.56,13.0,104,34056433,Suisse,Suisse,Zürich,Zürich
46.4,6.65,34.0,46.4,6.65,68.0,104,449555268,France,France,-,-
46.07,7.69,25.0,46.07,7.69,76.0,104,1476592206,Suisse,Suisse,Valais - Wallis,Valais - Wallis
47.68,8.62,38.0,47.68,8.62,41.0,104,67622563,Suisse,Suisse,Schaffhausen,Schaffhausen
47.53,8.55,33.0,47.53,8.55,28.0,104,341284934,Suisse,Suisse,Zürich,Zürich
45.8,8.88,43.0,45.8,8.88,15.0,104,361912971,Italia,Italia,-,-
47.56,7.58,23.0,47.56,7.58,15.0,104,3366940451,Suisse,Suisse,Basel-Stadt,Basel-Stadt
47.64,6.86,51.0,47.64,6.86,53.0,104,508332223,France,France,-,-
46.74,7.64,20.0,46.79,7.54,29.0,104,25353626,Suisse,Suisse,Bern - Berne,Bern - Berne
45.85,6.1,31.0,45.85,6.1,18.0,104,3221272516,France,France,-,-
47.26,6.01,55.0,47.26,6.01,49.0,104,450526942,France,France,-,-
47.4,8.58,12.0,46.01,8.96,18.0,105,794059,Suisse,Suisse,Ticino,Zürich
46.2,6.14,37.0,46.2,6.14,48.0,105,368586239,Suisse,Suisse,Genève,Genève
46.2,6.14,28.0,46.2,6.14,76.0,105,3041555480,Suisse,Suisse,Genève,Genève
45.81,8.97,43.0,45.81,8.97,62.0,105,568340860,Italia,Italia,-,-
46.24,8.9,30.0,46.24,8.9,75.0,105,397610678,Suisse,Suisse,Ticino,Ticino
47.39,8.68,17.0,47.39,8.68,88.0,105,331073551,Suisse,Suisse,Zürich,Zürich
46.2,6.24,56.0,46.2,6.24,33.0,105,97747212,France,France,-,-
47.15,8.34,12.0,47.15,8.34,18.0,105,261312297,Suisse,Suisse,Luzern,Luzern
46.61,7.05,72.0,46.61,7.05,30.0,105,323728570,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
47.46,6.75,47.0,47.46,6.75,47.0,105,512534531,France,France,-,-
47.35,8.33,17.0,47.35,8.33,12.0,105,489750191,Suisse,Suisse,Aargau,Aargau
47.88,7.01,45.0,47.88,7.01,33.0,105,489424482,France,France,-,-
47.04,8.32,27.0,47.04,8.32,78.0,105,2824071362,Suisse,Suisse,Luzern,Luzern
45.89,6.05,31.0,45.89,6.05,46.0,105,63383097,France,France,-,-
47.64,9.17,77.0,47.64,9.17,28.0,105,473728587,Suisse,Suisse,Thurgau,Thurgau
47.78,9.61,24.0,47.78,9.61,12.0,105,474752900,Deutschland,Deutschland,-,-
46.26,9.85,30.0,46.26,9.85,13.0,105,594883062,Italia,Italia,-,-
45.81,9.3,18.0,45.82,9.3,29.0,105,2740880937,Italia,Italia,-,-
45.85,9.38,74.0,45.85,9.38,29.0,105,273354650,Italia,Italia,-,-
45.95,6.03,20.0,45.86,6.15,15.0,105,1562969755,France,France,-,-
46.8,6.03,34.0,46.8,6.03,71.0,105,1017900966,France,France,-,-
46.38,6.57,51.0,46.38,6.57,53.0,105,817912297,France,France,-,-
45.84,9.51,83.0,45.84,9.51,20.0,105,3012258371,Italia,Italia,-,-
46.45,6.17,44.0,46.45,6.17,60.0,105,873875726,Suisse,Suisse,Vaud,Vaud
46.11,7.92,19.0,46.11,7.92,14.0,105,192261566,Suisse,Suisse,Valais - Wallis,Valais - Wallis
45.92,8.55,10.0,45.93,8.55,19.0,105,269922964,Italia,Italia,-,-
46.16,6.04,22.0,46.16,6.04,45.0,105,102650778,Suisse,Suisse,Genève,Genève
46.8,10.25,13.0,46.77,10.18,20.0,105,154965234,Suisse,Suisse,Graubünden - Grigioni - Grischun,Graubünden - Grigioni - Grischun
47.42,9.36,36.0,47.42,9.36,25.0,105,2179896347,Suisse,Suisse,Sankt Gallen,Sankt Gallen
46.26,6.11,23.0,46.25,6.11,20.0,105,2173692470,France,France,-,-
46.2,7.01,48.0,46.2,7.01,47.0,105,3920775274,Suisse,Suisse,Valais - Wallis,Valais - Wallis
45.88,6.52,42.0,45.88,6.52,55.0,106,3094131728,France,France,-,-
46.2,6.14,20.0,46.2,6.14,84.0,106,220741151,Suisse,Suisse,Genève,Genève
46.01,8.94,48.0,46.01,8.94,15.0,106,415714116,Suisse,Suisse,Ticino,Ticino
46.53,6.65,63.0,46.53,6.65,43.0,106,222189342,Suisse,Suisse,Vaud,Vaud
47.09,8.28,16.0,47.09,8.28,33.0,106,424447041,Suisse,Suisse,Luzern,Luzern
46.19,6.27,48.0,46.19,6.27,57.0,106,1196483900,France,France,-,-
47.42,8.05,22.0,47.42,8.05,33.0,106,265515708,Suisse,Suisse,Aargau,Aargau
45.92,6.15,12.0,45.92,6.15,16.0,106,960925537,France,France,-,-
47.4,8.62,50.0,47.4,8.62,50.0,106,71055924,Suisse,Suisse,Zürich,Zürich
45.95,6.12,71.0,45.95,6.12,27.0,106,1405199504,France,France,-,-
46.8,7.13,10.0,46.8,7.13,72.0,106,567354925,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
46.0,8.96,61.0,46.0,8.96,45.0,106,2948924133,Suisse,Suisse,Ticino,Ticino
46.41,6.29,39.0,46.41,6.29,52.0,106,40129533,Suisse,Suisse,Vaud,Vaud
46.28,9.4,63.0,46.28,9.4,29.0,106,1624033783,Italia,Italia,-,-
45.76,9.85,49.0,45.76,9.85,44.0,106,242156145,Italia,Italia,-,-
46.21,6.14,44.0,46.21,6.14,62.0,106,1525528848,Suisse,Suisse,Genève,Genève
46.78,6.64,15.0,46.78,6.64,64.0,106,493036527,Suisse,Suisse,Vaud,Vaud
46.38,6.51,39.0,46.36,6.47,27.0,106,1099527900,France,France,-,-
46.28,6.17,27.0,46.28,6.17,31.0,106,402364639,Suisse,Suisse,Genève,Genève
45.86,9.43,64.0,45.86,9.43,42.0,106,479872678,Italia,Italia,-,-
46.46,9.8,26.0,46.46,9.8,21.0,106,119471593,Suisse,Suisse,Graubünden - Grigioni - Grischun,Graubünden - Grigioni - Grischun
47.64,6.46,55.0,47.64,6.46,46.0,106,621047004,France,France,-,-
45.86,6.59,45.0,45.86,6.59,61.0,106,1024137594,France,France,-,-
47.73,7.3,63.0,47.73,7.3,42.0,106,3202525679,France,France,-,-
47.57,7.96,11.0,47.57,7.96,30.0,106,170765174,Deutschland,Deutschland,-,-
45.92,6.87,47.0,45.92,6.87,50.0,106,239172885,France,France,-,-
46.64,7.87,51.0,46.64,7.87,52.0,106,4131994809,Suisse,Suisse,Bern - Berne,Bern - Berne
47.38,8.54,67.0,47.38,8.54,39.0,106,474795905,Suisse,Suisse,Zürich,Zürich
46.62,7.07,27.0,46.61,7.07,64.0,106,1258154641,Suisse,Suisse,Fribourg - Freiburg,Fribourg - Freiburg
46.29,7.52,96.0,46.29,7.52,10.0,106,899729078,Suisse,Suisse,Valais - Wallis,Valais - Wallis
47.2,5.94,54.0,47.2,5.94,51.0,106,3198733917,France,France,-,-
45.85,6.16,58.0,45.85,6.16,44.0,106,1012071300,France,France,-,-
46.53,6.65,50.0,46.53,6.65,56.0,106,289779577,Suisse,Suisse,Vaud,Vaud
47.38,8.54,12.0,47.15,8.11,13.0,106,2610496927,Suisse,Suisse,Luzern,Zürich
46.77,6.64,40.0,46.77,6.64,26.0,106,378119254,Suisse,Suisse,Vaud,Vaud
47.38,8.54,44.0,47.38,8.54,41.0,106,261066274,Suisse,Suisse,Zürich,Zürich
47.38,8.57,47.0,47.38,8.57,59.0,106,3146790737,Suisse,Suisse,Zürich,Zürich
46.5,6.67,10.0,46.53,6.65,27.0,106,2351170187,Suisse,Suisse,Vaud,Vaud
46.14,6.68,33.0,46.14,6.68,21.0,106,2484721453,France,France,-,-
45.84,7.73,24.0,45.83,7.73,13.0,107,10100102,Italia,Italia,-,-
46.83,10.34,12.0,47.38,8.42,27.0,107,424302727,Suisse,Suisse,Zürich,Graubünden - Grigioni - Grischun
45.84,6.14,24.0,45.84,6.14,21.0,107,461101052,France,France,-,-
46.19,6.13,21.0,46.2,6.16,55.0,107,454757424,Suisse,Suisse,Genève,Genève
47.54,6.8,36.0,47.54,6.8,52.0,107,1367011543,France,France,-,-
46.2,6.25,48.0,46.2,6.25,41.0,107,2254906156,France,France,-,-
47.65,6.13,62.0,47.65,6.13,41.0,107,223941117,France,France,-,-
45.98,6.92,55.0,45.98,6.92,34.0,107,93916751,France,France,-,-
45.8,9.08,80.0,45.8,9.08,27.0,107,57597795,Italia,Italia,-,-
45.81,8.62,61.0,45.81,8.62,42.0,107,182944610,Italia,Italia,-,-
47.74,6.48,44.0,47.64,6.46,20.0,107,537048675,France,France,-,-
46.9,6.36,13.0,46.9,6.36,30.0,107,457741137,France,France,-,-
45.86,9.41,13.0,45.86,9.41,17.0,107,457561762,Italia,Italia,-,-
46.08,6.49,25.0,46.09,6.5,11.0,107,1038624967,France,France,-,-
45.92,6.87,13.0,45.92,6.87,82.0,107,379304932,France,France,-,-
46.08,6.41,57.0,46.08,6.41,49.0,107,256539822,France,France,-,-
45.9,6.65,39.0,45.9,6.65,64.0,107,3409741835,France,France,-,-
46.21,6.14,24.0,46.21,6.14,28.0,107,1514593358,Suisse,Suisse,Genève,Genève
46.48,9.83,19.0,46.48,9.83,88.0,107,251946089,Suisse,Suisse,Graubünden - Grigioni - Grischun,Graubünden - Grigioni - Grischun
46.23,6.14,17.0,46.24,6.13,23.0,107,2175288283,Suisse,Suisse,Genève,Genève
45.86,8.7,25.0,45.86,8.7,47.0,107,321573168,Italia,Italia,-,-
45.88,6.44,33.0,45.88,6.44,69.0,107,1151742703,France,France,-,-
47.8,6.31,73.0,47.8,6.31,34.0,107,1436797819,France,France,-,-
46.18,9.86,17.0,46.15,9.99,22.0,107,3704850195,Italia,Italia,-,-
46.84,7.66,95.0,46.84,7.66,12.0,107,82618596,Suisse,Suisse,Bern - Berne,Bern - Berne
46.5,6.23,52.0,46.5,6.23,55.0,107,534622304,Suisse,Suisse,Vaud,Vaud
46.29,7.97,42.0,46.29,7.97,48.0,107,2915065860,Suisse,Suisse,Valais - Wallis,Valais - Wallis
47.72,7.28,55.0,47.72,7.28,40.0,107,86600652,France,France,-,-
47.5,6.9,28.0,47.5,6.9,67.0,107,3378047818,France,France,-,-
45.75,6.42,73.0,45.75,6.42,34.0,107,1702489195,France,France,-,-
47.13,10.27,12.0,47.13,10.27,43.0,107,6631492,Österreich,Österreich,-,-
46.25,6.13,34.0,46.25,6.13,70.0,107,1326792212,Suisse,Suisse,Genève,Genève
45.83,6.81,10.0,46.01,7.33,14.0,107,2933943639,Suisse,Italia,Valais - Wallis,-
46.2,6.16,23.0,46.2,6.16,43.0,107,240791468,Suisse,Suisse,Genève,Genève
46.0,8.91,36.0,46.0,8.91,45.0,107,325631708,Suisse,Suisse,Ticino,Ticino
46.01,8.93,53.0,46.01,8.93,27.0,107,292254629,Suisse,Suisse,Ticino,Ticino
47.33,8.58,21.0,47.33,8.58,14.0,107,1447065434,Suisse,Suisse,Zürich,Zürich
45.92,6.07,52.0,45.92,6.07,51.0,107,1285214186,France,France,-,-
47.8,8.92,18.0,47.8,8.92,20.0,107,45004636,Deutschland,Deutschland,-,-
47.72,7.57,23.0,47.72,7.57,16.0,107,1639922772,Deutschland,Deutschland,-,-
47.1,9.52,16.0,47.11,9.52,10.0,107,299567683,Liechtenstein,Liechtenstein,-,-
45.8,9.08,67.0,45.8,9.08,40.0,107,365017548,Italia,Italia,-,-
47.38,8.54,42.0,47.38,8.54,36.0,108,25097794,Suisse,Suisse,Zürich,Zürich
46.42,6.27,11.0,46.53,6.69,19.0,108,495171020,Suisse,Suisse,Vaud,Vaud
47.11,6.83,28.0,47.11,6.83,44.0,108,1117077312,Suisse,Suisse,Neuchâtel,Neuchâtel
45.76,9.85,65.0,45.76,9.85,43.0,108,1236678607,Italia,Italia,-,-
47.35,6.91,78.0,47.35,6.91,28.0,108,998108280,France,France,-,-
45.82,6.16,26.0,45.82,6.16,37.0,108,315949937,France,France,-,-
45.9,6.47,40.0,45.9,6.47,68.0,108,510863472,France,France,-,-
46.18,6.22,58.0,46.18,6.22,46.0,108,3664327756,France,France,-,-
46.27,6.84,85.0,46.27,6.84,20.0,108,910557871,France,France,-,-
46.17,6.16,32.0,46.17,6.16,51.0,108,130927985,Suisse,Suisse,Genève,Genève
