workLat,workLong,workTweets,homeLat,homeLong,homeTweets,#tweets,userID
45.8,9.08,87.0,45.8,9.08,12.0,101,253062081
45.8,9.08,25.0,45.81,9.03,25.0,101,81417603
45.85,6.1,54.0,45.85,6.1,47.0,101,19610690
46.0,8.94,76.0,46.0,8.94,25.0,101,426284872
47.51,6.94,48.0,47.51,6.94,21.0,101,3380384855
46.51,6.66,26.0,46.51,6.66,73.0,101,1460548670
47.7,9.27,41.0,47.7,9.27,38.0,101,64387730
47.46,10.02,88.0,47.46,10.02,12.0,101,1122232950
45.98,6.0,19.0,45.98,6.0,61.0,101,141949128
47.57,7.59,28.0,47.57,7.59,70.0,101,433389810
47.41,8.58,18.0,47.41,8.58,10.0,101,1243313953
45.85,6.1,45.0,45.85,6.1,39.0,101,3438990538
46.2,6.14,63.0,46.2,6.14,35.0,101,284896105
47.38,8.54,33.0,47.38,8.54,60.0,101,3131461289
45.83,6.81,19.0,45.83,6.81,13.0,101,122922135
47.38,8.54,26.0,47.38,8.54,16.0,101,546822022
46.2,6.14,47.0,46.2,6.14,21.0,101,292098708
47.44,7.76,34.0,47.44,7.76,66.0,101,4853456333
47.72,7.28,84.0,47.72,7.28,15.0,101,340143773
45.8,9.08,41.0,45.8,9.08,52.0,101,305813985
47.38,8.54,49.0,47.38,8.54,51.0,101,2956936937
46.2,6.25,16.0,46.2,6.25,81.0,102,188704924
46.2,6.14,50.0,46.2,6.14,49.0,102,284127608
45.89,6.13,53.0,45.89,6.13,49.0,102,1260226550
45.92,6.87,52.0,45.92,6.87,33.0,102,138826733
47.74,7.32,37.0,47.74,7.32,61.0,102,258030867
46.13,8.25,47.0,46.13,8.25,55.0,102,3239836115
47.49,6.84,22.0,47.49,6.84,51.0,102,1321135351
47.15,7.26,49.0,47.15,7.26,45.0,102,895638505
45.83,8.81,14.0,45.83,8.81,13.0,102,1308700544
46.81,8.22,12.0,46.81,8.22,90.0,102,728687598
47.16,9.55,29.0,47.16,9.55,33.0,102,18605696
46.34,6.44,41.0,46.34,6.44,51.0,102,3957280955
45.87,6.71,48.0,45.87,6.71,48.0,102,349169858
45.83,8.67,63.0,45.83,8.67,34.0,102,318541668
47.72,7.28,32.0,47.72,7.28,70.0,102,3387972351
47.4,8.54,18.0,47.4,8.54,18.0,102,50958268
47.64,9.17,20.0,47.71,9.15,48.0,102,1103913025
45.83,8.89,49.0,45.83,8.89,51.0,102,2367787546
47.79,7.26,72.0,47.79,7.26,30.0,102,2384184810
45.8,9.09,49.0,45.8,9.09,53.0,102,333418248
47.25,6.02,35.0,47.25,6.02,53.0,102,747115560
46.62,6.75,21.0,46.62,6.75,80.0,102,2341098558
46.15,6.24,10.0,46.17,6.28,24.0,102,464640008
47.43,8.67,52.0,47.43,8.67,22.0,102,632183
46.22,6.13,53.0,46.22,6.13,48.0,102,489791180
45.85,6.1,26.0,45.83,6.05,25.0,102,264810763
46.52,6.68,55.0,46.52,6.68,38.0,102,1459528555
47.38,8.54,22.0,47.38,8.54,78.0,102,2845576089
47.09,9.22,11.0,47.09,9.22,66.0,102,2919733500
47.19,8.52,65.0,47.19,8.52,37.0,102,2200616135
45.75,7.06,75.0,45.75,7.06,23.0,102,2149409163
46.21,6.14,23.0,46.21,6.14,79.0,102,2210608370
46.81,8.22,23.0,46.95,7.39,13.0,102,1105782984
47.38,8.55,52.0,47.38,8.55,42.0,102,92669036
47.06,8.29,34.0,47.04,8.32,34.0,102,1630594945
45.82,8.96,32.0,45.82,8.96,69.0,102,563896526
45.89,9.65,91.0,45.89,9.65,11.0,102,128551330
45.93,6.93,46.0,45.93,6.93,45.0,102,195830316
47.75,6.01,67.0,47.75,6.01,34.0,102,1020031646
47.45,8.56,11.0,47.43,9.37,91.0,102,575058945
47.37,8.53,37.0,47.37,8.53,49.0,102,1021427894
47.49,6.74,44.0,47.49,6.74,19.0,102,337922522
45.84,9.24,74.0,45.84,9.24,14.0,103,3937761017
47.72,7.36,19.0,47.72,7.36,84.0,103,2557421676
47.76,7.35,87.0,47.76,7.35,14.0,103,2179318515
45.89,10.2,13.0,45.89,10.2,69.0,103,331427640
45.8,9.09,62.0,45.8,9.09,23.0,103,498772160
47.72,7.28,40.0,47.72,7.28,60.0,103,1058879996
46.45,6.87,19.0,46.44,6.87,28.0,103,1030556149
45.86,8.86,26.0,45.86,8.86,72.0,103,2237868858
47.74,7.41,45.0,47.74,7.41,47.0,103,586489673
45.76,9.85,45.0,45.76,9.85,20.0,103,1672646767
46.26,6.1,30.0,46.26,6.1,61.0,103,752013032
45.92,6.6,27.0,45.92,6.6,76.0,103,1884315576
47.2,7.0,43.0,47.21,7.0,15.0,103,2920633161
46.18,6.14,75.0,46.18,6.14,28.0,103,1704084872
45.86,9.43,89.0,45.86,9.43,14.0,103,516565969
47.23,6.01,27.0,47.23,6.01,14.0,103,51402268
46.2,9.03,11.0,46.19,9.03,35.0,103,239852906
46.54,6.62,12.0,46.52,6.63,35.0,103,214518344
45.98,6.18,18.0,45.98,6.18,13.0,103,508095633
46.53,6.41,45.0,46.53,6.41,58.0,103,1720284968
46.09,7.9,47.0,46.09,7.9,32.0,103,493386984
45.81,8.78,41.0,45.81,8.78,33.0,103,2270460189
45.88,9.89,21.0,45.88,9.89,38.0,103,403842770
46.95,7.44,85.0,46.95,7.44,16.0,103,1869145579
47.75,7.33,28.0,47.75,7.33,49.0,103,555132837
45.8,6.66,62.0,45.8,6.66,18.0,103,2611458520
45.92,6.87,59.0,45.92,6.87,19.0,103,214089003
45.85,6.1,31.0,45.85,6.1,51.0,103,159473356
46.2,6.14,53.0,46.2,6.14,47.0,103,202563542
47.35,8.53,18.0,47.35,8.53,23.0,103,20443862
46.2,6.14,87.0,46.2,6.14,15.0,103,97402119
47.2,5.94,60.0,47.2,5.94,38.0,103,399387122
46.61,7.1,27.0,46.61,7.1,69.0,103,785670169
46.94,7.43,15.0,46.94,7.43,55.0,103,475230468
45.9,6.44,12.0,45.9,6.43,13.0,103,304548188
45.97,7.95,72.0,45.97,7.95,32.0,104,778447614
47.74,7.24,75.0,47.74,7.24,29.0,104,3131620193
45.95,9.67,46.0,45.97,9.65,10.0,104,471208191
46.23,6.13,41.0,46.23,6.13,29.0,104,72903268
46.19,7.34,22.0,46.19,7.34,82.0,104,580032495
47.72,7.33,73.0,47.72,7.33,29.0,104,71874566
46.22,6.14,12.0,46.23,6.13,23.0,104,236893379
47.5,8.73,43.0,47.5,8.73,61.0,104,229630522
46.8,7.16,22.0,46.8,7.16,53.0,104,2560301759
46.57,7.07,10.0,46.57,7.07,24.0,104,953931247
47.45,8.46,54.0,47.45,8.46,48.0,104,708013147
47.38,8.54,86.0,47.38,8.54,17.0,104,103044416
46.2,6.14,36.0,46.2,6.14,67.0,104,1192720748
45.83,6.81,21.0,45.83,6.81,83.0,104,509127690
47.6,9.6,49.0,47.6,9.6,55.0,104,2794082212
47.41,8.64,24.0,47.41,8.64,33.0,104,136389098
47.37,8.54,10.0,47.37,8.56,13.0,104,34056433
46.4,6.65,34.0,46.4,6.65,68.0,104,449555268
46.07,7.69,25.0,46.07,7.69,76.0,104,1476592206
47.68,8.62,38.0,47.68,8.62,41.0,104,67622563
47.53,8.55,33.0,47.53,8.55,28.0,104,341284934
45.8,8.88,43.0,45.8,8.88,15.0,104,361912971
47.56,7.58,23.0,47.56,7.58,15.0,104,3366940451
47.64,6.86,51.0,47.64,6.86,53.0,104,508332223
46.74,7.64,20.0,46.79,7.54,29.0,104,25353626
45.85,6.1,31.0,45.85,6.1,18.0,104,3221272516
47.26,6.01,55.0,47.26,6.01,49.0,104,450526942
47.4,8.58,12.0,46.01,8.96,18.0,105,794059
46.2,6.14,37.0,46.2,6.14,48.0,105,368586239
46.2,6.14,28.0,46.2,6.14,76.0,105,3041555480
45.81,8.97,43.0,45.81,8.97,62.0,105,568340860
46.24,8.9,30.0,46.24,8.9,75.0,105,397610678
47.39,8.68,17.0,47.39,8.68,88.0,105,331073551
46.2,6.24,56.0,46.2,6.24,33.0,105,97747212
47.15,8.34,12.0,47.15,8.34,18.0,105,261312297
46.61,7.05,72.0,46.61,7.05,30.0,105,323728570
47.46,6.75,47.0,47.46,6.75,47.0,105,512534531
47.35,8.33,17.0,47.35,8.33,12.0,105,489750191
47.88,7.01,45.0,47.88,7.01,33.0,105,489424482
47.04,8.32,27.0,47.04,8.32,78.0,105,2824071362
45.89,6.05,31.0,45.89,6.05,46.0,105,63383097
47.64,9.17,77.0,47.64,9.17,28.0,105,473728587
47.78,9.61,24.0,47.78,9.61,12.0,105,474752900
46.26,9.85,30.0,46.26,9.85,13.0,105,594883062
45.81,9.3,18.0,45.82,9.3,29.0,105,2740880937
45.85,9.38,74.0,45.85,9.38,29.0,105,273354650
45.95,6.03,20.0,45.86,6.15,15.0,105,1562969755
46.8,6.03,34.0,46.8,6.03,71.0,105,1017900966
46.38,6.57,51.0,46.38,6.57,53.0,105,817912297
45.84,9.51,83.0,45.84,9.51,20.0,105,3012258371
46.45,6.17,44.0,46.45,6.17,60.0,105,873875726
46.11,7.92,19.0,46.11,7.92,14.0,105,192261566
45.92,8.55,10.0,45.93,8.55,19.0,105,269922964
46.16,6.04,22.0,46.16,6.04,45.0,105,102650778
46.8,10.25,13.0,46.77,10.18,20.0,105,154965234
47.42,9.36,36.0,47.42,9.36,25.0,105,2179896347
46.26,6.11,23.0,46.25,6.11,20.0,105,2173692470
46.2,7.01,48.0,46.2,7.01,47.0,105,3920775274
45.88,6.52,42.0,45.88,6.52,55.0,106,3094131728
46.2,6.14,20.0,46.2,6.14,84.0,106,220741151
46.01,8.94,48.0,46.01,8.94,15.0,106,415714116
46.53,6.65,63.0,46.53,6.65,43.0,106,222189342
47.09,8.28,16.0,47.09,8.28,33.0,106,424447041
46.19,6.27,48.0,46.19,6.27,57.0,106,1196483900
47.42,8.05,22.0,47.42,8.05,33.0,106,265515708
45.92,6.15,12.0,45.92,6.15,16.0,106,960925537
47.4,8.62,50.0,47.4,8.62,50.0,106,71055924
45.95,6.12,71.0,45.95,6.12,27.0,106,1405199504
46.8,7.13,10.0,46.8,7.13,72.0,106,567354925
46.0,8.96,61.0,46.0,8.96,45.0,106,2948924133
46.41,6.29,39.0,46.41,6.29,52.0,106,40129533
46.28,9.4,63.0,46.28,9.4,29.0,106,1624033783
45.76,9.85,49.0,45.76,9.85,44.0,106,242156145
46.21,6.14,44.0,46.21,6.14,62.0,106,1525528848
46.78,6.64,15.0,46.78,6.64,64.0,106,493036527
46.38,6.51,39.0,46.36,6.47,27.0,106,1099527900
46.28,6.17,27.0,46.28,6.17,31.0,106,402364639
45.86,9.43,64.0,45.86,9.43,42.0,106,479872678
46.46,9.8,26.0,46.46,9.8,21.0,106,119471593
47.64,6.46,55.0,47.64,6.46,46.0,106,621047004
45.86,6.59,45.0,45.86,6.59,61.0,106,1024137594
47.73,7.3,63.0,47.73,7.3,42.0,106,3202525679
47.57,7.96,11.0,47.57,7.96,30.0,106,170765174
45.92,6.87,47.0,45.92,6.87,50.0,106,239172885
46.64,7.87,51.0,46.64,7.87,52.0,106,4131994809
47.38,8.54,67.0,47.38,8.54,39.0,106,474795905
46.62,7.07,27.0,46.61,7.07,64.0,106,1258154641
46.29,7.52,96.0,46.29,7.52,10.0,106,899729078
47.2,5.94,54.0,47.2,5.94,51.0,106,3198733917
45.85,6.16,58.0,45.85,6.16,44.0,106,1012071300
46.53,6.65,50.0,46.53,6.65,56.0,106,289779577
47.38,8.54,12.0,47.15,8.11,13.0,106,2610496927
46.77,6.64,40.0,46.77,6.64,26.0,106,378119254
47.38,8.54,44.0,47.38,8.54,41.0,106,261066274
47.38,8.57,47.0,47.38,8.57,59.0,106,3146790737
46.5,6.67,10.0,46.53,6.65,27.0,106,2351170187
46.14,6.68,33.0,46.14,6.68,21.0,106,2484721453
45.84,7.73,24.0,45.83,7.73,13.0,107,10100102
46.83,10.34,12.0,47.38,8.42,27.0,107,424302727
45.84,6.14,24.0,45.84,6.14,21.0,107,461101052
46.19,6.13,21.0,46.2,6.16,55.0,107,454757424
47.54,6.8,36.0,47.54,6.8,52.0,107,1367011543
46.2,6.25,48.0,46.2,6.25,41.0,107,2254906156
47.65,6.13,62.0,47.65,6.13,41.0,107,223941117
45.98,6.92,55.0,45.98,6.92,34.0,107,93916751
45.8,9.08,80.0,45.8,9.08,27.0,107,57597795
45.81,8.62,61.0,45.81,8.62,42.0,107,182944610
47.74,6.48,44.0,47.64,6.46,20.0,107,537048675
46.9,6.36,13.0,46.9,6.36,30.0,107,457741137
45.86,9.41,13.0,45.86,9.41,17.0,107,457561762
46.08,6.49,25.0,46.09,6.5,11.0,107,1038624967
45.92,6.87,13.0,45.92,6.87,82.0,107,379304932
46.08,6.41,57.0,46.08,6.41,49.0,107,256539822
45.9,6.65,39.0,45.9,6.65,64.0,107,3409741835
46.21,6.14,24.0,46.21,6.14,28.0,107,1514593358
46.48,9.83,19.0,46.48,9.83,88.0,107,251946089
46.23,6.14,17.0,46.24,6.13,23.0,107,2175288283
45.86,8.7,25.0,45.86,8.7,47.0,107,321573168
45.88,6.44,33.0,45.88,6.44,69.0,107,1151742703
47.8,6.31,73.0,47.8,6.31,34.0,107,1436797819
46.18,9.86,17.0,46.15,9.99,22.0,107,3704850195
46.84,7.66,95.0,46.84,7.66,12.0,107,82618596
46.5,6.23,52.0,46.5,6.23,55.0,107,534622304
46.29,7.97,42.0,46.29,7.97,48.0,107,2915065860
47.72,7.28,55.0,47.72,7.28,40.0,107,86600652
47.5,6.9,28.0,47.5,6.9,67.0,107,3378047818
45.75,6.42,73.0,45.75,6.42,34.0,107,1702489195
47.13,10.27,12.0,47.13,10.27,43.0,107,6631492
46.25,6.13,34.0,46.25,6.13,70.0,107,1326792212
45.83,6.81,10.0,46.01,7.33,14.0,107,2933943639
46.2,6.16,23.0,46.2,6.16,43.0,107,240791468
46.0,8.91,36.0,46.0,8.91,45.0,107,325631708
46.01,8.93,53.0,46.01,8.93,27.0,107,292254629
47.33,8.58,21.0,47.33,8.58,14.0,107,1447065434
45.92,6.07,52.0,45.92,6.07,51.0,107,1285214186
47.8,8.92,18.0,47.8,8.92,20.0,107,45004636
47.72,7.57,23.0,47.72,7.57,16.0,107,1639922772
47.1,9.52,16.0,47.11,9.52,10.0,107,299567683
45.8,9.08,67.0,45.8,9.08,40.0,107,365017548
47.38,8.54,42.0,47.38,8.54,36.0,108,25097794
46.42,6.27,11.0,46.53,6.69,19.0,108,495171020
47.11,6.83,28.0,47.11,6.83,44.0,108,1117077312
45.76,9.85,65.0,45.76,9.85,43.0,108,1236678607
47.35,6.91,78.0,47.35,6.91,28.0,108,998108280
45.82,6.16,26.0,45.82,6.16,37.0,108,315949937
45.9,6.47,40.0,45.9,6.47,68.0,108,510863472
46.18,6.22,58.0,46.18,6.22,46.0,108,3664327756
46.27,6.84,85.0,46.27,6.84,20.0,108,910557871
46.17,6.16,32.0,46.17,6.16,51.0,108,130927985
46.43,6.91,19.0,46.43,6.91,89.0,108,199606759
45.83,8.81,55.0,45.83,8.81,52.0,108,3297572615
45.96,9.25,13.0,45.96,9.25,92.0,108,3352624204
46.01,9.5,49.0,46.13,9.28,21.0,108,3007497339
46.2,6.14,29.0,47.45,8.98,19.0,108,582608923
45.98,6.92,10.0,45.98,6.92,16.0,108,96624523
46.11,7.93,13.0,46.95,7.39,10.0,108,186380801
47.37,8.54,13.0,47.38,8.57,11.0,108,15860331
47.38,8.54,78.0,47.38,8.54,30.0,108,2474035219
47.43,8.67,15.0,46.95,7.39,20.0,108,295097436
46.09,6.66,13.0,46.0,6.68,19.0,108,19031536
47.04,8.32,32.0,45.99,7.74,14.0,108,4127621837
47.56,7.58,12.0,47.56,7.61,10.0,108,208139007
47.4,8.14,13.0,47.4,8.14,31.0,108,1736371574
47.56,7.6,70.0,47.56,7.6,38.0,108,760821786
47.4,8.54,43.0,47.4,8.54,64.0,108,210517960
45.82,9.87,54.0,45.82,9.87,46.0,108,2898980625
47.11,6.83,67.0,47.11,6.83,38.0,108,423402195
45.91,6.16,62.0,45.91,6.16,31.0,108,570095186
47.64,5.91,10.0,47.67,5.96,40.0,108,875899734
46.61,7.92,30.0,46.61,7.92,78.0,108,804713467
45.84,8.81,59.0,45.84,8.81,49.0,108,28611548
47.76,10.49,51.0,47.76,10.49,55.0,108,175172196
47.69,6.77,12.0,47.7,6.83,24.0,108,1381364737
47.52,6.78,25.0,47.49,6.74,38.0,108,110568263
45.94,6.11,16.0,45.94,6.11,92.0,108,327053088
45.83,8.81,75.0,45.83,8.81,31.0,108,2879998593
47.09,6.81,31.0,47.11,6.83,22.0,108,1424951082
47.02,8.31,76.0,47.02,8.31,32.0,108,1513140259
45.93,6.17,14.0,45.92,6.06,49.0,108,120566603
45.83,6.61,70.0,45.83,6.61,38.0,108,405818248
47.49,6.84,27.0,47.49,6.84,46.0,108,2734157035
47.87,7.22,35.0,47.87,7.22,16.0,109,610202015
47.2,5.94,23.0,47.2,5.94,80.0,109,309866991
46.81,8.22,64.0,46.81,8.22,43.0,109,88228691
45.9,9.39,78.0,45.9,9.39,30.0,109,152585610
45.85,9.39,40.0,45.85,9.39,57.0,109,357454543
47.55,8.85,19.0,47.55,8.85,10.0,109,259077048
47.54,9.14,21.0,47.54,9.14,51.0,109,970211364
46.81,8.22,21.0,46.21,6.09,28.0,109,4185139229
47.61,7.0,19.0,47.61,7.0,73.0,109,3084856682
46.38,6.22,65.0,46.38,6.22,44.0,109,2334039160
46.2,6.14,52.0,46.2,6.14,57.0,109,3951156376
46.2,6.14,74.0,46.2,6.14,35.0,109,117424181
45.85,8.64,35.0,45.83,8.81,44.0,109,617028374
45.92,6.41,80.0,45.92,6.41,12.0,109,749590309
47.38,8.54,12.0,47.5,8.73,38.0,109,321373396
46.52,6.63,13.0,46.52,6.63,25.0,109,1447010030
46.45,6.93,90.0,46.45,6.93,14.0,109,2474292489
46.12,6.07,29.0,46.12,6.07,73.0,109,20982926
46.82,6.53,41.0,46.82,6.53,66.0,109,1687107908
47.0,6.94,31.0,47.0,6.94,23.0,109,595470843
47.38,8.54,79.0,47.38,8.54,25.0,109,399943240
47.57,7.56,37.0,47.57,7.56,28.0,109,16839280
46.2,6.2,40.0,46.2,6.13,26.0,109,546512670
47.52,6.78,84.0,47.52,6.78,25.0,109,278599569
46.41,10.5,19.0,46.41,10.5,20.0,109,152953899
47.57,9.38,26.0,47.55,9.3,41.0,109,2310454143
47.5,8.72,27.0,47.5,8.72,47.0,109,452446461
46.53,6.65,29.0,46.53,6.64,14.0,109,19888273
47.5,9.73,54.0,47.5,9.73,26.0,109,27096968
47.56,7.58,46.0,47.56,7.58,61.0,109,738242396
46.0,8.75,13.0,46.0,8.75,54.0,109,3025833855
47.36,9.41,25.0,47.36,9.41,84.0,109,128641320
45.96,8.56,32.0,45.96,8.56,71.0,110,288129673
46.25,6.13,39.0,46.25,6.13,71.0,110,521795088
45.89,6.13,43.0,45.89,6.13,67.0,110,1858665590
45.85,6.64,32.0,45.85,6.64,18.0,110,69874682
47.72,7.34,39.0,47.72,7.34,11.0,110,2548246604
46.11,7.93,52.0,46.11,7.93,30.0,110,14233899
47.51,9.74,85.0,47.51,9.74,25.0,110,3349025039
47.47,8.2,64.0,47.47,8.2,44.0,110,1387001912
47.38,8.54,45.0,47.38,8.54,65.0,110,350415251
47.65,6.86,81.0,47.65,6.86,10.0,110,1093261638
45.8,9.08,23.0,45.85,9.38,33.0,110,186137707
47.49,6.84,29.0,47.49,6.84,13.0,110,45402091
46.21,6.12,14.0,46.21,6.14,35.0,110,2208085702
45.94,6.89,15.0,45.94,6.89,42.0,110,397142746
46.96,7.54,39.0,46.96,7.54,42.0,110,1038127470
47.28,8.73,33.0,47.28,8.73,69.0,110,434216975
46.45,6.93,41.0,46.45,6.93,65.0,110,4431645742
46.56,7.04,84.0,46.56,7.04,25.0,110,908024671
46.17,6.24,88.0,46.17,6.24,11.0,110,2328754949
47.61,7.32,61.0,47.61,7.32,43.0,110,442403581
46.95,7.44,21.0,46.95,7.44,24.0,110,1937671128
46.69,7.13,15.0,46.69,7.13,20.0,110,2309800134
45.89,10.2,22.0,45.89,10.2,88.0,110,403521272
45.83,8.77,43.0,45.83,8.77,62.0,110,2766181971
47.43,6.89,20.0,47.43,6.89,73.0,110,2256940556
46.15,6.66,15.0,46.15,6.66,23.0,110,1564931436
47.49,6.74,94.0,47.49,6.74,16.0,110,718097742669733888
47.2,5.94,80.0,47.2,5.94,29.0,110,2275082527
46.2,6.14,32.0,46.2,6.14,77.0,110,49055401
45.86,9.07,17.0,45.79,9.08,10.0,111,1275305011
46.52,6.65,78.0,46.52,6.65,21.0,111,81171035
47.31,8.52,43.0,47.31,8.52,47.0,111,137476204
47.81,10.21,38.0,47.81,10.21,38.0,111,953366262
45.92,6.4,13.0,45.92,6.4,18.0,111,964881806
47.61,6.13,12.0,47.2,5.94,82.0,111,2298461900
46.2,6.14,53.0,46.2,6.14,58.0,111,4419529947
47.74,7.03,36.0,47.74,7.03,70.0,111,2435505481
47.75,7.33,68.0,47.75,7.33,42.0,111,2335244881
46.84,7.66,73.0,46.84,7.66,16.0,111,377369754
46.0,8.96,52.0,46.0,8.96,52.0,111,66753097
46.5,9.84,45.0,46.5,9.85,14.0,111,396110021
46.16,6.18,37.0,46.16,6.18,69.0,111,1978587386
46.95,7.45,11.0,46.95,7.45,10.0,111,14757865
46.56,7.04,64.0,46.81,7.16,22.0,111,163244512
46.04,6.35,13.0,46.04,6.35,10.0,111,378126302
47.1,6.15,66.0,47.1,6.15,45.0,111,339095672
46.26,6.84,45.0,46.26,6.84,65.0,111,440322282
45.86,9.43,12.0,45.87,9.4,16.0,111,431012446
47.64,6.86,14.0,47.62,6.79,37.0,111,116045685
47.42,9.37,34.0,47.42,9.37,78.0,112,608380871
45.89,6.08,23.0,45.85,6.1,46.0,112,2885553603
47.2,5.94,40.0,47.2,5.94,60.0,112,455881257
47.43,7.57,26.0,47.43,7.57,50.0,112,2960558713
47.38,8.54,67.0,47.37,8.54,19.0,112,2799026832
46.18,9.86,51.0,46.18,9.86,61.0,112,3081499341
45.85,9.38,20.0,45.85,9.38,45.0,112,469463242
45.94,6.89,26.0,45.94,6.89,86.0,112,1213438884
47.74,7.44,11.0,47.74,7.44,10.0,112,445386904
46.81,8.22,38.0,46.81,8.22,21.0,112,1492977835
45.8,8.88,82.0,45.8,8.88,30.0,112,2864120847
46.81,8.22,35.0,46.81,8.22,55.0,112,2973637179
47.38,8.54,69.0,47.38,8.54,24.0,112,16241871
47.81,7.33,67.0,47.81,7.33,37.0,112,1637707470
46.95,7.44,15.0,46.95,7.44,42.0,112,2210973403
46.62,8.04,86.0,46.62,8.04,26.0,112,426801624
46.25,6.13,55.0,46.25,6.13,27.0,112,203223474
47.47,7.3,91.0,47.47,7.3,21.0,112,1610999359
46.1,6.1,57.0,46.1,6.1,55.0,112,583806028
46.53,6.65,71.0,46.53,6.65,41.0,112,864295712
46.24,6.65,58.0,46.24,6.65,54.0,112,59727964
47.38,8.54,61.0,47.38,8.54,50.0,112,29941044
45.89,6.13,27.0,45.89,6.13,63.0,112,91427140
45.78,10.34,66.0,45.78,10.34,46.0,112,802287002
45.85,6.1,84.0,45.85,6.1,28.0,112,2366179166
47.38,8.54,33.0,47.46,8.29,21.0,112,275016082
47.37,7.33,63.0,47.37,7.33,49.0,112,3404675553
46.34,7.01,42.0,46.34,7.01,58.0,112,40270975
46.53,6.63,37.0,46.53,6.65,23.0,112,48303036
46.37,7.99,22.0,47.38,8.54,17.0,112,368019049
47.1,6.68,12.0,47.03,6.64,38.0,112,2920022610
46.84,7.66,49.0,46.84,7.66,44.0,112,576203306
46.21,6.14,49.0,46.21,6.14,63.0,112,194799403
45.86,9.43,80.0,45.86,9.43,32.0,112,3383416133
47.75,7.35,54.0,47.75,7.35,55.0,112,1421169606
46.39,6.6,27.0,46.06,6.52,15.0,112,472562987
47.87,7.22,43.0,47.87,7.22,69.0,112,204960200
45.9,6.11,34.0,45.9,6.11,58.0,112,560306444
46.21,6.11,42.0,46.21,6.11,69.0,112,1510336272
47.38,8.54,15.0,47.38,8.54,24.0,112,62842575
46.82,7.51,50.0,46.82,7.51,58.0,112,342127999
45.9,6.47,100.0,45.9,6.47,11.0,112,356472095
46.54,6.65,19.0,46.61,6.53,34.0,112,632091023
47.11,6.83,15.0,47.21,7.0,66.0,112,3433068971
47.38,8.54,54.0,47.38,8.54,58.0,112,32465713
