name,date,keywords,hashtags,longitude,latitude,# of tweets,# of people,tweetids,country
tedxzh ,2011-10-04,['tedxzh'],['tedxzh'],8.56165528169,47.4036302817,142.0,36.0,"[121076293407211520, 121086361116745728, 121095467986726913, 121097569140088832, 121099253417377792, 121100861710675968, 121102376470978560, 121102949329027073, 121102958946562048, 121103036188852224, 121103092904230912, 121103148021579776, 121103510052933632, 121104035834101760, 121106736244461568, 121112383191121920, 121114689299165184, 121115144867684352, 121116221025423360, 121116697859072001, 121116874263105536, 121117621650337792, 121118004867117056, 121120461353525249, 121121485342515200, 121121617521811456, 121122747630891008, 121123327816368128, 121124252652015616, 121125946290995200, 121127023438606336, 121127437747748864, 121127702227992576, 121128540489003008, 121128785805451265, 121128963811721216, 121130496427171840, 121131394444431360, 121131835165122560, 121132114627411968, 121132498364280832, 121132933791748096, 121134696838086656, 121137909280686080, 121138150356692993, 121138283014135808, 121138687726714880, 121138835559153664, 121142261793820672, 121142780289490944, 121151559995367424, 121151870269009920, 121151886924595200, 121152758219948032, 121154420816883712, 121154542514614272, 121155314652413953, 121157359572754432, 121157561281036288, 121157858959179776, 121160124072075264, 121160267840229376, 121161141513764864, 121161149919137792, 121165137083236352, 121167586623881216, 121168489951137792, 121169804810919938, 121169867519967232, 121170034591666176, 121170097791438851, 121170492001497088, 121171397191008256, 121171608470691842, 121173740766765056, 121174175527342081, 121176917478096896, 121181324450086913, 121182089860235264, 121188317697032192, 121190660127727616, 121191078027210752, 121191433360257024, 121193472211419137, 121194260497313792, 121195223631138816, 121200759453908994, 121202001135673344, 121207989502869504, 121209157763346433, 121214705879625728, 121214891095896064, 121217738428522496, 121219115775041536, 121223647733092354, 121224141159403520, 121224699781984258, 121226842081472512, 121231839762460672, 121232111872122880, 121232419750809600, 121232508930097154, 121232624504152067, 121232998082420736, 121235680398553088, 121235795792248833, 121235798522728448, 121237650735771649, 121241095161122816, 121245915171401728, 121250975108440064, 121251772030402560, 121280987060649984, 121282650261565440, 121283175279366144, 121283708786458624, 121287979712000000, 121288242384482305, 121291241714487297, 121291253068468224, 121295702449078272, 121296223394209792, 121296987344748544, 121298135824871424, 121299813324169217, 121300021797851136, 121300498266587138, 121300924479176704, 121300998101807104, 121301789080436736, 121301965744508929, 121322997595389952, 121338056522481664, 121355777360396288, 121356099029970944, 121356911688953857, 121357297749458944, 121360965978693632, 121366009335660544, 121366299258535936, 121367901495238656, 121368044051234816]",CH
luzern ,2011-10-06,['luzern'],['luzern'],8.30954785714,47.0510285714,14.0,3.0,"[121743021246132225, 121866968411291649, 121868122247544832, 121876479633133568, 121876951291002881, 121881231674720256, 121885713783455744, 121892707349168128, 121894592563003393, 121972147185922048, 122041348130996224, 122065212705742848, 122067521447792641, 122069108375293952]",CH
uxcon11 ,2011-10-29,['uxcon11'],['uxcon11'],8.95239358974,46.0069205128,39.0,11.0,"[130174266510544897, 130174942447812608, 130176959920603136, 130177437605699584, 130181441647685632, 130182096944775168, 130183009138774016, 130184055957372928, 130184457234821120, 130193720850132992, 130194301408915456, 130195160935055360, 130208536335613953, 130212547499540481, 130223301523017728, 130224318184558592, 130243581561683968, 130249349824380928, 130250713002545152, 130250866572800000, 130252382134210560, 130253152959209472, 130257116656177152, 130266471740870656, 130267627238080513, 130268918731374593, 130270966457704448, 130274550406594561, 130275160178704384, 130275942458339328, 130277194235772928, 130279411076431873, 130296294399934464, 130297366946381826, 130300705041952768, 130305258797797376, 130340937699295233, 130340938173259776, 130383464309604353]",CH
glion2011 ,2011-11-11,"['glion2011', 'Glion', 'Forum']",['glion2011'],6.926229090910001,46.4369454545,11.0,3.0,"[134907262807445504, 134907799544143872, 134916719218139136, 134917920806551553, 134921034154512384, 134939993184546816, 134942535566114816, 134942688410738688, 134945034926698497, 134947825246146560, 134955094205665280]",CH
nachtzug ,2011-11-18,['nachtzug'],['nachtzug'],9.261830400000001,47.42592,25.0,7.0,"[137398509711265792, 137422640909520896, 137455413938487296, 137461605821714432, 137462973949165569, 137466198819487744, 137545703546290176, 137550139450593281, 137589316934320128, 137590296262352896, 137596746565025793, 137598353616814080, 137622540574134272, 137636792181604353, 137673235029438465, 137673780607721472, 137675200102809600, 137675433142525953, 137676575826132993, 137677818631950337, 137678491356377088, 137679176508522496, 137680174849335296, 137680413601710080, 137680929027145728]",CH
occupy ,2011-11-19,['occupy'],['occupy'],9.3756675,47.421175,12.0,4.0,"[137681874117066753, 137867229885775872, 137867484643598338, 137868386532200448, 137869175552086016, 137884664781221888, 137888955050901504, 137892809951813632, 137906415774875651, 137907309975318528, 137923017132093440, 137938417584574465]",CH
croquetmaster ,2011-12-11,['croquetmaster'],['croquetmaster'],8.323711,47.01321,10.0,3.0,"[145792083372949504, 145815098030702593, 145817410774110208, 145829667553812480, 145834897037201410, 145907496299675648, 145912847422074883, 145914300492562433, 145915051092623360, 145941468417236992]",CH
cff ,2011-12-13,['cff'],['cff'],6.63546625,46.5219625,8.0,5.0,"[146463380104949760, 146544082674663424, 146623580883521536, 146626650753347584, 146626869763112961, 146647404194705408, 146647479352430594, 146667152076849152]",CH
tatort ,2012-01-15,['tatort'],['tatort'],7.589249090910001,47.551136363599994,11.0,3.0,"[158544486446809089, 158545712450256896, 158546148708192256, 158551519493496833, 158616043173060608, 158616979450769409, 158617786606825472, 158634275657351168, 158638316646965249, 158641707917910016, 158644697148039169]",CH
tedxlausanne ,2012-01-20,['tedxlausanne'],['tedxlausanne'],6.6276740384599995,46.518,52.0,16.0,"[160246640345747456, 160260069160787968, 160262698532216832, 160270369205399552, 160278845478551552, 160285111559012354, 160285690624610304, 160291183170568192, 160293221078007808, 160298798747353088, 160300945908043776, 160334547601457152, 160336889377853440, 160339000610131968, 160339000861786113, 160340436798545920, 160343349524578304, 160347713303617536, 160349415935193088, 160349482343612416, 160351981054083073, 160354725634650112, 160355122365468672, 160356572881625088, 160359586019295232, 160361517773094912, 160362607373590528, 160365019790450689, 160366592092413952, 160367291106729984, 160370019274997760, 160370047683014656, 160370307566280704, 160370568313577472, 160376369623220224, 160380342975479811, 160381259779022848, 160390601584558080, 160394422670991360, 160396348477288448, 160400343140798464, 160403967900258304, 160404414526525440, 160404983680995328, 160412808725528576, 160413755270889472, 160414066127540224, 160414098088140801, 160416771596238848, 160465866591444992, 160472565196931073, 160479600059752448]",CH
lift12 ,2012-02-23,['lift12'],['lift12'],6.13673120301,46.2172796992,133.0,32.0,"[172475181007249408, 172494709506310144, 172537334254944256, 172537828809510912, 172538150139334658, 172547081301528576, 172551861986009089, 172555735941656576, 172555920813981696, 172562762155835395, 172563189605732352, 172563739499970561, 172563792666951680, 172572998799327232, 172574696234156032, 172581211225595904, 172588875846385664, 172589165848956928, 172589693769232384, 172591263386832896, 172591425312133120, 172591855568031744, 172592939573329920, 172594539020816384, 172595361670639616, 172595364929609728, 172595501160599552, 172597709478445056, 172599737474748416, 172599822463934464, 172601131934040066, 172602855348375552, 172604585729462273, 172604747898036224, 172605633290436608, 172607473549705217, 172608561376018432, 172608832512589824, 172608919145955329, 172613693140500480, 172615289291288576, 172616673327718400, 172617539539570688, 172617581734281217, 172620869200392192, 172623122187563008, 172624754711347200, 172624754807812096, 172624979114991616, 172625768059375618, 172626247682228225, 172627050128097280, 172627282115043328, 172628177598939136, 172628426031775744, 172628844405211137, 172630213841268736, 172630561951727618, 172632350365204480, 172633156929855488, 172636208571232256, 172636292977393666, 172637522810245120, 172638037765922816, 172638683609055232, 172639256949432320, 172640177959866370, 172640452980383744, 172641447160459264, 172642611440533506, 172642743166840834, 172644614740787201, 172644913178091520, 172645120888406016, 172645432961413120, 172645884700524546, 172648251592425472, 172651728976621568, 172671796175306752, 172672411316137984, 172674328113061888, 172674622456741888, 172675224389689346, 172676103838777344, 172676807991107585, 172677306639335425, 172678744081838080, 172679147200589824, 172679363735715841, 172681035912445952, 172681784818024449, 172683664923168769, 172685127095296000, 172687227103612928, 172691648881504256, 172698033539125248, 172701615818670080, 172702196754939905, 172702293672734720, 172703111494897664, 172704931093037056, 172707630534504450, 172708967385022465, 172709259862220802, 172709860218122240, 172710540215451648, 172714513630638082, 172715828922433537, 172720758492110848, 172722840834023424, 172730967826497536, 172734551544696833, 172736145065652224, 172739005056688128, 172745582480334848, 172752553216442368, 172762361973846016, 172764305719173120, 172765920685600769, 172766602843013121, 172767642917158912, 172768565026496513, 172777792981831680, 172778997833408512, 172782584818974721, 172796413791567872, 172797005133922306, 172797313025179648, 172797561336369152, 172799448001413121, 172799803770671104, 172811687030820866, 172820284997500929]",CH
lift12 ,2012-02-24,['lift12'],['lift12'],6.1287268,46.214875,100.0,26.0,"[172925752352837632, 172945095782440960, 172945475845111809, 172945856289443840, 172949283908235265, 172950443595534336, 172955764313423872, 172957129047683072, 172957272866168832, 172962259646169089, 172962466366627840, 172964758507626496, 172970106748534784, 172972638094893056, 172993321046786048, 172993519592542208, 172995524499210240, 172996328916398081, 172997427006156800, 172997995393056768, 172997996206764033, 172998144588656641, 172998684324282368, 172999070242193409, 172999385679011840, 173000387886985216, 173000716078682112, 173001272700579842, 173002845002539008, 173005097025015808, 173006268997439488, 173006638167494657, 173011453207523329, 173015152843685888, 173016342218285056, 173017847486889984, 173017961496457216, 173018069143261185, 173019281708158976, 173023206423281664, 173027926999175168, 173029082232131584, 173030415802712064, 173031257448517633, 173031389648789504, 173031828838551553, 173031917061541889, 173032008677724162, 173032381652025344, 173032783072083968, 173032948306690048, 173033529943404545, 173033607064076288, 173035276401262593, 173037036985528320, 173037668614160385, 173039201405775872, 173039421644480513, 173039775840874496, 173041919277019136, 173044569020174336, 173045322619174912, 173045916561965056, 173047374057455617, 173048768319602689, 173049614231023620, 173053276412063744, 173061598238351360, 173065247517712385, 173068356163878912, 173070923363123200, 173072393647030272, 173073975046447104, 173081492271022080, 173082480985903105, 173083300318019584, 173085156377239552, 173087654190120960, 173089557523333120, 173090399747977217, 173099322035019776, 173100873218662400, 173100981305880577, 173106266808397824, 173108955705376768, 173109010340392961, 173110314844426240, 173133959360819200, 173135084793241600, 173142556291497984, 173144766517755904, 173145815588683776, 173151738319208448, 173159974820790273, 173160037089415170, 173160100352106496, 173160177212731392, 173163200429309952, 173178481709023232, 173193301548220417]",CH
swlau ,2012-03-02,['swlau'],['swlau'],6.60406395349,46.5237697674,43.0,13.0,"[175471801680412674, 175472269823459328, 175486475129982976, 175496317471166464, 175504406693953536, 175507148606930944, 175527940971438080, 175528235524833280, 175552710223986688, 175553685789749248, 175557942404317184, 175595955628949506, 175613409973379072, 175613583927947264, 175615776051568640, 175615918351724545, 175617465676607488, 175618593541734401, 175620608028196864, 175620816552198144, 175626994938163201, 175627952560676864, 175633746014375936, 175634463496224768, 175635793119944705, 175639838656176129, 175643087756988418, 175644544136777730, 175645977779245056, 175646365240655873, 175646510652993536, 175648537026113537, 175649257741758464, 175649764652748800, 175656894071963648, 175657410566946816, 175657861324615681, 175663955333746688, 175673443038138368, 175675808046780416, 175677976153825280, 175702036426395649, 175712977486491648]",CH
w44 ,2012-03-19,['w44'],['w44'],9.32495625,47.4191,8.0,5.0,"[181612075200675840, 181621591136944128, 181650287323381760, 181675413322481664, 181675527797612544, 181684567709728769, 181698343423062017, 181753229648990208]",CH
iSmoothRun ,2012-04-01,"['Puls', 'Seit', 'Weg,', 'iSmoothRun', 'Strecke', 'km,']",['iSmoothRun'],7.439084878049999,46.89007560979999,41.0,9.0,"[186343033720156160, 186348651273129984, 186351165414457344, 186353690993635331, 186356447192420353, 186358969302925312, 186359338464579586, 186361485558153216, 186363161312632832, 186364386267512832, 186366901579034624, 186369421923729408, 186371932768321536, 186374664245870592, 186377186377351168, 186379719686619136, 186382235610525696, 186383658960175105, 186384758241099776, 186384811269689344, 186389678113558530, 186406779561836545, 186409136873947136, 186410975166083073, 186442014861168641, 186455605240807425, 186465227032891392, 186465886000001025, 186466213206040577, 186471206277496834, 186476430148911104, 186476918986641409, 186477407086186497, 186478286375890944, 186478724550635521, 186481081149702144, 186495214570049537, 186496251028713472, 186504928481648640, 186553281085046784, 186553691006963713]",CH
FOMG12 ,2012-04-17,['FOMG12'],['FOMG12'],6.902112,46.4366333333,15.0,8.0,"[192118649044213760, 192156178086756352, 192157235307225088, 192160153326469120, 192162407899070465, 192196839825612800, 192212579731509248, 192213298790408192, 192217955017297921, 192227819248549888, 192228234778247168, 192238092994879488, 192324111853301760, 192331972914319360, 192336941499432960]",CH
badeferien ferien ,2012-04-24,"['badeferien', 'ferien', 'Fr.', 'ab']","['badeferien', 'ferien']",9.043921875,47.1349625,16.0,6.0,"[194658696775741440, 194658698096934912, 194717858297692160, 194719847001751552, 194724563668566016, 194748042161831936, 194802125618950144, 194840999070150658, 194842198112612353, 194843139293446144, 194852003871076353, 194882424860184578, 194890539563352064, 194915047443664896, 194915048991371264, 194915050228695040]",CH
